SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0022026,Richardson Rd Lot 15 / Premium,Richardson Rd Lot 15 Waroona / Premium,Mine,Openpit,Operating,J03128,Waroona / Premium,115.818979999999996,-32.854638999999999,389490,6364210,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"WAROONA, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0022042,T5,T5 - Flying Fox Underground,Mine,Decline,Operating,J00757,Forrestania Nickel / Western Areas,119.689003000000000,-32.417782000000003,752872,6410072,50,Ni Cu Co,Steel alloy metal,NICKEL,Flying Fox,Y,Ni Cu Co,Y,,Operating Mine,Public,2833,HOLLAND,SI50-04,HYDEN,"KONDININ, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20191210
S0022052,Chester Pass Rd,Chester Pass Road Lot 5824,Mine,Openpit,Operating,J03141,Chester Pass Road,117.959258000000005,-34.791234000000003,587757,6149689,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2428,MOUNT BARKER,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20191210
S0022053,Chester Pass Rd,Chester Pass Road Lot 3464,Mine,Openpit,Operating,J03141,Chester Pass Road,117.909662999999995,-34.917734000000003,583092,6135702,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2428,MOUNT BARKER,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20191210
S0022055,Roberts Rd Lot 67/AD Contractors,Roberts Road Lot 67 Robinson / AD Contractors,Mine,Openpit,Operating,J03143,Albany Construction Materials / AD Contractors,117.839287999999996,-35.035345000000000,576554,6122715,50,Sd Lsd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20191210
S0022058,Old Coast Rd,Old Coast Rd / NLG,Mine,Openpit,Operating,J03145,Old Coast Road/ NLG,115.668198000000004,-32.735691000000003,375214,6377229,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"MANDURAH, CITY OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0022066,Kimberley Sst - Brown,Kimberley Sandstone - Brown,Mine,Openpit,Operating,J01911,Kimberley Sandstone / Meteor Stone,123.032411999999994,-17.479361999999998,503441,8067414,51,Dst Sdst,Construction material,DIMENSION STONE,,N,,,,,Public,3563,FRASER,SE51-07,DERBY,"BROOME, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Fitzroy Trough,20191210
S0022068,Buller Rd Lot 3/ Meek,Buller Road Lot 3 Waroona / Meek,Mine,Openpit,Operating,J03151,Waroona - Buller Road / Meek,115.838131000000004,-32.860033999999999,391289,6363631,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"WAROONA, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0022135,Wellesley Rd Lot 5/Edwards,Wellesley Rd Lot 5 Wellesley / Edwards,Mine,Openpit,Operating,J03165,Wellesley Road Sand / Edwards,115.755483999999996,-33.151885999999998,383938,6331185,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0022145,Eight Mile Rock Hole Sand,Eight Mile Rock Hole Sand,Mine,Openpit,Operating,J03172,Eight Mile Rock Hole,120.977202000000005,-30.809018999999999,306488,6589813,51,Sd Sisd,Construction material,CONSTRUCTION MATERIALS,Eight Mile Rock Hole,Y,Sd Sisd,Y,,Operating Mine,Public,3036,DUNNSVILLE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Yilgarn Craton granites,20191210
S0022146,Eight Mile Rock Hole Gravel,Eight Mile Rock Hole Gravel,Mine,Openpit,Operating,J03172,Eight Mile Rock Hole,121.005373000000006,-30.802512000000000,309171,6590583,51,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Yilgarn Craton granites,20191210
S0022158,Pit3 E,Brockman 4 - Pit 3 East,Mine,Openpit,Operating,J03931,Brockman 4 Area / Rio Tinto,117.229615999999993,-22.596941999999999,523601,7501079,50,Fe,Iron,IRON ORE,,N,,,,,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0022159,Pit2 Interim,Brockman 4 - Pit 2 Interim,Mine,Openpit,Operating,J03931,Brockman 4 Area / Rio Tinto,117.178072000000000,-22.609483000000001,518301,7499698,50,Fe,Iron,IRON ORE,,N,,,,,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0022171,Sand - Lot 8 / Catalano,Binningup Sand - Lot 8 / Catalano,Mine,Openpit,Operating,J03290,Harvey-Bunbury / Catalano,115.704801000000003,-33.133173999999997,379186,6333203,50,Lst Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20191210
S0022223,Sandalwood Road Lot 6 North,Sandalwood Road Lot 6 Brunswick North / Catalano,Mine,Openpit,Operating,J03290,Harvey-Bunbury / Catalano,115.922798000000000,-33.173141000000001,399567,6329002,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20191210
